JDAY,WB,TP-Waterbody(kg),TP-Sediment(kg),TP-Plants(kg),OutflowTP(kg),TributaryTP(kg),DistributedTributaryTP(kg),WithdrawalTP(kg),PrecipitationTP(kg),InflowTP(kg),AtmosphericDepositionP(kg),SED+SOD_PRelease(kg),PFluxtoSediments(kg),TN-Waterbody(kg),TN-Sediment(kg),TN-Plants(kg),OutflowTN(kg),TributaryTN(kg),DistributedTributaryTN(kg),WithdrawalTN(kg),PrecipitationTN(kg),InflowTN(kg),AtmosphericDepositionN(kg),NH3GasLoss(kg),SED+SOD_NRelease(kg),NFluxtoSediments(kg
   281.500,   1,  0.30010286E+05,   0.00000000E+00,   0.00000000E+00,   0.11953126E+04,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.42145505E+04,   0.52196925E+03,   0.24598494E+06,   0.00000000E+00,   0.70265201E+06,   0.00000000E+00,   0.00000000E+00,   0.11849010E+06,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.76992941E+05,   0.48600468E+02,   0.00000000E+00,   0.24594458E+07,   0.00000000E+00,
   288.500,   1,  0.29745241E+05,   0.00000000E+00,   0.00000000E+00,   0.12179773E+04,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.42530027E+04,   0.53771200E+03,   0.25733664E+06,   0.00000000E+00,   0.70174103E+06,   0.00000000E+00,   0.00000000E+00,   0.11943840E+06,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.77502967E+05,   0.50165447E+02,   0.00000000E+00,   0.25729628E+07,   0.00000000E+00,
   295.500,   1,  0.30334870E+05,   0.00000000E+00,   0.00000000E+00,   0.12398776E+04,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.44045675E+04,   0.55338760E+03,   0.26942359E+06,   0.00000000E+00,   0.71228747E+06,   0.00000000E+00,   0.00000000E+00,   0.12045411E+06,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.79473310E+05,   0.51743273E+02,   0.00000000E+00,   0.26938323E+07,   0.00000000E+00,
   302.500,   1,  0.29926537E+05,   0.00000000E+00,   0.00000000E+00,   0.12655805E+04,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.44913547E+04,   0.56900006E+03,   0.27944112E+06,   0.00000000E+00,   0.71477511E+06,   0.00000000E+00,   0.00000000E+00,   0.12172581E+06,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.80381625E+05,   0.53334348E+02,   0.00000000E+00,   0.27940075E+07,   0.00000000E+00,
   309.500,   1,  0.28805810E+05,   0.00000000E+00,   0.00000000E+00,   0.12982151E+04,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.45888292E+04,   0.58454747E+03,   0.28446210E+06,   0.00000000E+00,   0.71651306E+06,   0.00000000E+00,   0.00000000E+00,   0.12347156E+06,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.81405121E+05,   0.54938483E+02,   0.00000000E+00,   0.28440321E+07,   0.00000000E+00,
   316.500,   1,  0.28045730E+05,   0.00000000E+00,   0.00000000E+00,   0.13147259E+04,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.46288716E+04,   0.60003149E+03,   0.28861412E+06,   0.00000000E+00,   0.71540176E+06,   0.00000000E+00,   0.00000000E+00,   0.12426820E+06,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.82083970E+05,   0.56555854E+02,   0.00000000E+00,   0.28855523E+07,   0.00000000E+00,
   323.500,   1,  0.28232311E+05,   0.00000000E+00,   0.00000000E+00,   0.13546561E+04,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.48025374E+04,   0.61544436E+03,   0.29329269E+06,   0.00000000E+00,   0.72115558E+06,   0.00000000E+00,   0.00000000E+00,   0.12653245E+06,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.83465838E+05,   0.58185639E+02,   0.00000000E+00,   0.29323380E+07,   0.00000000E+00,
   330.500,   1,  0.28780227E+05,   0.00000000E+00,   0.00000000E+00,   0.13885090E+04,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.50251881E+04,   0.63080286E+03,   0.29507802E+06,   0.00000000E+00,   0.73703470E+06,   0.00000000E+00,   0.00000000E+00,   0.12849034E+06,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.85123044E+05,   0.59829622E+02,   0.00000000E+00,   0.29501913E+07,   0.00000000E+00,
   337.500,   1,  0.29017147E+05,   0.00000000E+00,   0.00000000E+00,   0.14060476E+04,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.50850498E+04,   0.64608113E+03,   0.29517780E+06,   0.00000000E+00,   0.74653018E+06,   0.00000000E+00,   0.00000000E+00,   0.12941328E+06,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.86135390E+05,   0.61485028E+02,   0.00000000E+00,   0.29511891E+07,   0.00000000E+00,
   344.500,   1,  0.31812795E+05,   0.00000000E+00,   0.00000000E+00,   0.14894388E+04,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.55310691E+04,   0.66126730E+03,   0.29525075E+06,   0.00000000E+00,   0.78901166E+06,   0.00000000E+00,   0.00000000E+00,   0.13446991E+06,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.90419397E+05,   0.63150489E+02,   0.00000000E+00,   0.29519185E+07,   0.00000000E+00,
   351.500,   1,  0.36814588E+05,   0.00000000E+00,   0.00000000E+00,   0.16590583E+04,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.63955413E+04,   0.67647159E+03,   0.29532028E+06,   0.00000000E+00,   0.87967092E+06,   0.00000000E+00,   0.00000000E+00,   0.14571661E+06,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.97804217E+05,   0.64838203E+02,   0.00000000E+00,   0.29526138E+07,   0.00000000E+00,
   358.500,   1,  0.36335592E+05,   0.00000000E+00,   0.00000000E+00,   0.17169614E+04,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.65069944E+04,   0.69156954E+03,   0.29537765E+06,   0.00000000E+00,   0.88816429E+06,   0.00000000E+00,   0.00000000E+00,   0.14943017E+06,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.98976438E+05,   0.66534437E+02,   0.00000000E+00,   0.29531875E+07,   0.00000000E+00,
